Hospital Name,Street,District,Region
St. Marys Clinic,Mtaa wa Amani,Temeke,Dar es Salaam
Healing Health Center,Jamhuri Avenue,Kinondoni,Dar es Salaam
Hope Medical Center,Bismarck Street,Ilala,Dar es Salaam
Silver Clinic,Nyerere Street,Ilala,Dar es Salaam
Good Health Health Facility,Jamhuri Avenue,Kinondoni,Dar es Salaam
Peace Hospital,Nyamagana Road,Kinondoni,Dar es Salaam
Peace Medical Center,Buhongwa Road,Temeke,Dar es Salaam
Good Health Hospital,Kaloleni Street,Ilala,Dar es Salaam
New Life Clinic,Njiro Road,Ilala,Dar es Salaam
Golden Clinic,Nyamagana Road,Kinondoni,Dar es Salaam
Healing Health Facility,Mtaa wa Upendo,Temeke,Dar es Salaam
St. Mary’s Hospital,Mtaa wa Amani,Temeke,Dar es Salaam
Silver Hospital,Meru Road,Ilala,Dar es Salaam
Bright Future Health Center,Mlimani Avenue,Ilala,Dar es Salaam
Bright Future Medical Center,Nyamagana Road,Temeke,Dar es Salaam
Healing Clinic,Azikiwe Street,Temeke,Dar es Salaam
Silver Hospital,Bismarck Street,Ilala,Dar es Salaam
Good Health Health Facility,Bismarck Street,Temeke,Dar es Salaam
Sacred Heart Hospital,Mlimani Avenue,Kinondoni,Dar es Salaam
Golden Hospital,Nyerere Street,Kinondoni,Dar es Salaam
Faith Hospital,Mtaa wa Baraka,Kinondoni,Dar es Salaam
Good Health Hospital,Jamhuri Avenue,Ilala,Dar es Salaam
Healing Hospital,Bismarck Street,Ilala,Dar es Salaam
Good Health Clinic,Meru Road,Temeke,Dar es Salaam
New Life Hospital,Mlimani Avenue,Kinondoni,Dar es Salaam
Good Health Medical Center,Mtaa wa Walinzi,Kinondoni,Dar es Salaam
Unity Health Facility,Mlimani Avenue,Ilala,Dar es Salaam
Faith Medical Center,Kaloleni Street,Ilala,Dar es Salaam
Mercy Health Center,Nyerere Street,Kinondoni,Dar es Salaam
St. Mary’s Health Center,Kaloleni Street,Temeke,Dar es Salaam
Hope Medical Center,Mtaa wa Baraka,Ilala,Dar es Salaam
Hope Medical Center,Mtaa wa Baraka,Ilala,Dar es Salaam
Sacred Heart Medical Center,Mtaa wa Baraka,Temeke,Dar es Salaam
Silver Health Center,Meru Road,Temeke,Dar es Salaam
Mercy Medical Center,Kaloleni Street,Temeke,Dar es Salaam
Healing Health Center,Nyamagana Road,Kinondoni,Dar es Salaam
Sunrise Health Center,Mtaa wa Upendo,Kinondoni,Dar es Salaam
Mercy Health Facility,Kijitonyama Road,Ilala,Dar es Salaam
Hope Hospital,Jamhuri Avenue,Ilala,Dar es Salaam
Sacred Heart Clinic,Meru Road,Ilala,Dar es Salaam
Good Health Health Center,Nyamagana Road,Temeke,Dar es Salaam
St. Mary’s Hospital,Buhongwa Road,Kinondoni,Dar es Salaam
St. Mary’s Health Facility,Mtaa wa Walinzi,Kinondoni,Dar es Salaam
Silver Hospital,Kijitonyama Road,Temeke,Dar es Salaam
Faith Medical Center,Nyamagana Road,Ilala,Dar es Salaam
Mercy Health Center,Nyamagana Road,Temeke,Dar es Salaam
Faith Health Facility,Njiro Road,Ilala,Dar es Salaam
Bright Future Medical Center,Mtaa wa Amani,Ilala,Dar es Salaam
Healing Health Facility,Mtaa wa Walinzi,Ilala,Dar es Salaam
Grace Health Center,Mtaa wa Upendo,Kinondoni,Dar es Salaam
Golden Health Facility,Meru Road,Kinondoni,Dar es Salaam
Sacred Heart Health Facility,Kijitonyama Road,Temeke,Dar es Salaam
Golden Health Center,Buhongwa Road,Temeke,Dar es Salaam
Silver Health Center,Buhongwa Road,Temeke,Dar es Salaam
Peace Medical Center,Azikiwe Street,Ilala,Dar es Salaam
Silver Health Facility,Meru Road,Ilala,Dar es Salaam
Unity Medical Center,Nyerere Street,Kinondoni,Dar es Salaam
Unity Health Center,Kijitonyama Road,Kinondoni,Dar es Salaam
Hope Health Center,Azikiwe Street,Ilala,Dar es Salaam
Golden Clinic,Mtaa wa Upendo,Ilala,Dar es Salaam
Peace Clinic,Mtaa wa Upendo,Kinondoni,Dar es Salaam
Hope Clinic,Azikiwe Street,Ilala,Dar es Salaam
Sunrise Clinic,Mtaa wa Upendo,Kinondoni,Dar es Salaam
Mercy Medical Center,Mtaa wa Baraka,Temeke,Dar es Salaam
Healing Health Center,Nyamagana Road,Kinondoni,Dar es Salaam
Golden Hospital,Mtaa wa Baraka,Kinondoni,Dar es Salaam
Grace Clinic,Nyerere Street,Temeke,Dar es Salaam
Sacred Heart Health Center,Jamhuri Avenue,Temeke,Dar es Salaam
Healing Clinic,Mlimani Avenue,Ilala,Dar es Salaam
St. Mary’s Hospital,Mlimani Avenue,Kinondoni,Dar es Salaam
Silver Health Center,Mtaa wa Baraka,Kinondoni,Dar es Salaam
Good Health Clinic,Mlimani Avenue,Temeke,Dar es Salaam
Healing Medical Center,Nyamagana Road,Kinondoni,Dar es Salaam
Unity Clinic,Nyerere Street,Kinondoni,Dar es Salaam
Unity Health Facility,Azikiwe Street,Ilala,Dar es Salaam
New Life Health Facility,Jamhuri Avenue,Kinondoni,Dar es Salaam
Bright Future Health Center,Mtaa wa Upendo,Ilala,Dar es Salaam
Mercy Health Facility,Mtaa wa Amani,Ilala,Dar es Salaam
Sunrise Clinic,Mlimani Avenue,Kinondoni,Dar es Salaam
Mercy Clinic,Mtaa wa Upendo,Temeke,Dar es Salaam
Unity Medical Center,Azikiwe Street,Kinondoni,Dar es Salaam
Faith Clinic,Mtaa wa Amani,Kinondoni,Dar es Salaam
Mercy Health Facility,Mtaa wa Upendo,Temeke,Dar es Salaam
Sunrise Medical Center,Kijitonyama Road,Ilala,Dar es Salaam
Sunrise Medical Center,Nyerere Street,Ilala,Dar es Salaam
Healing Hospital,Bismarck Street,Temeke,Dar es Salaam
Good Health Medical Center,Nyamagana Road,Kinondoni,Dar es Salaam
Grace Clinic,Meru Road,Ilala,Dar es Salaam
Peace Hospital,Bismarck Street,Kinondoni,Dar es Salaam
Hope Health Center,Kaloleni Street,Ilala,Dar es Salaam
St. Marys Clinic,Njiro Road,Temeke,Dar es Salaam
Hope Health Facility,Azikiwe Street,Temeke,Dar es Salaam
Sunrise Clinic,Nyamagana Road,Kinondoni,Dar es Salaam
New Life Clinic,Buhongwa Road,Kinondoni,Dar es Salaam
Grace Health Facility,Kaloleni Street,Kinondoni,Dar es Salaam
Golden Hospital,Mtaa wa Amani,Temeke,Dar es Salaam
Unity Clinic,Bismarck Street,Kinondoni,Dar es Salaam
Sunrise Health Facility,Jamhuri Avenue,Temeke,Dar es Salaam
Bright Future Health Facility,Mtaa wa Walinzi,Kinondoni,Dar es Salaam
Peace Health Facility,Jamhuri Avenue,Kinondoni,Dar es Salaam
Healing Health Facility,Meru Road,Ilala,Dar es Salaam
Good Health Medical Center,Mlimani Avenue,Kinondoni,Dar es Salaam
Good Health Hospital,Mlimani Avenue,Ilala,Dar es Salaam
Silver Clinic,Njiro Road,Temeke,Dar es Salaam
Healing Health Facility,Kaloleni Street,Ilala,Dar es Salaam
Mercy Health Center,Njiro Road,Kinondoni,Dar es Salaam
Hope Medical Center,Mtaa wa Upendo,Temeke,Dar es Salaam
Healing Health Facility,Kijitonyama Road,Ilala,Dar es Salaam
Sunrise Hospital,Mlimani Avenue,Ilala,Dar es Salaam
St. Mary’s Clinic,Nyerere Street,Temeke,Dar es Salaam
Hope Medical Center,Mtaa wa Walinzi,Ilala,Dar es Salaam
Hope Medical Center,Kaloleni Street,Temeke,Dar es Salaam
Peace Hospital,Mlimani Avenue,Ilala,Dar es Salaam
St. Mary’s Medical Center,Buhongwa Road,Temeke,Dar es Salaam
Golden Health Center,Nyamagana Road,Ilala,Dar es Salaam
St. Mary’s Clinic,Mlimani Avenue,Ilala,Dar es Salaam
Grace Health Center,Mtaa wa Baraka,Kinondoni,Dar es Salaam
Unity Clinic,Nyerere Street,Kinondoni,Dar es Salaam
Healing Hospital,Mtaa wa Amani,Kinondoni,Dar es Salaam
Grace Health Center,Njiro Road,Temeke,Dar es Salaam
New Life Hospital,Buhongwa Road,Ilala,Dar es Salaam
Golden Clinic,Meru Road,Temeke,Dar es Salaam
Good Health Clinic,Mtaa wa Upendo,Temeke,Dar es Salaam
Peace Medical Center,Mlimani Avenue,Ilala,Dar es Salaam
Faith Hospital,Meru Road,Temeke,Dar es Salaam
Silver Health Center,Kijitonyama Road,Ilala,Dar es Salaam
Mercy Clinic,Jamhuri Avenue,Temeke,Dar es Salaam
Good Health Hospital,Mtaa wa Walinzi,Ilala,Dar es Salaam
Hope Clinic,Mtaa wa Walinzi,Temeke,Dar es Salaam
Golden Health Facility,Kijitonyama Road,Kinondoni,Dar es Salaam
Mercy Health Facility,Jamhuri Avenue,Temeke,Dar es Salaam
Silver Medical Center,Kijitonyama Road,Temeke,Dar es Salaam
Grace Hospital,Mtaa wa Baraka,Ilala,Dar es Salaam
Sacred Heart Health Facility,Nyamagana Road,Temeke,Dar es Salaam
St. Mary’s Hospital,Nyerere Street,Temeke,Dar es Salaam
Golden Hospital,Kijitonyama Road,Temeke,Dar es Salaam
Sacred Heart Clinic,Azikiwe Street,Temeke,Dar es Salaam
Grace Clinic,Mtaa wa Walinzi,Ilala,Dar es Salaam
Hope Health Center,Meru Road,Ilala,Dar es Salaam
Grace Medical Center,Njiro Road,Ilala,Dar es Salaam
New Life Clinic,Mtaa wa Upendo,Temeke,Dar es Salaam
New Life Hospital,Kaloleni Street,Kinondoni,Dar es Salaam
Mercy Health Facility,Buhongwa Road,Temeke,Dar es Salaam
Hope Hospital,Kijitonyama Road,Temeke,Dar es Salaam
Sacred Heart Medical Center,Njiro Road,Temeke,Dar es Salaam
Peace Health Center,Nyerere Street,Temeke,Dar es Salaam
Golden Health Facility,Mlimani Avenue,Ilala,Dar es Salaam
Grace Clinic,Mtaa wa Walinzi,Temeke,Dar es Salaam
Sunrise Health Center,Mtaa wa Baraka,Ilala,Dar es Salaam
Peace Health Facility,Mlimani Avenue,Temeke,Dar es Salaam
Golden Health Facility,Kijitonyama Road,Kinondoni,Dar es Salaam
St. Mary’s Health Center,Mtaa wa Baraka,Kinondoni,Dar es Salaam
Peace Hospital,Kaloleni Street,Temeke,Dar es Salaam
Grace Hospital,Jamhuri Avenue,Kinondoni,Dar es Salaam
Silver Medical Center,Mtaa wa Baraka,Ilala,Dar es Salaam
New Life Hospital,Nyamagana Road,Kinondoni,Dar es Salaam
Sunrise Health Center,Njiro Road,Temeke,Dar es Salaam
Sunrise Hospital,Njiro Road,Kinondoni,Dar es Salaam
Faith Health Facility,Meru Road,Kinondoni,Dar es Salaam
Grace Clinic,Kaloleni Street,Kinondoni,Dar es Salaam
Mercy Hospital,Njiro Road,Temeke,Dar es Salaam
Faith Health Facility,Mtaa wa Walinzi,Temeke,Dar es Salaam
Mercy Health Center,Jamhuri Avenue,Kinondoni,Dar es Salaam
Golden Health Center,Mtaa wa Upendo,Temeke,Dar es Salaam
Unity Health Facility,Buhongwa Road,Ilala,Dar es Salaam
Good Health Health Facility,Mtaa wa Upendo,Arusha Urban,Arusha
Silver Medical Center,Azikiwe Street,Arusha Urban,Arusha
Peace Clinic,Kaloleni Street,Arumeru,Arusha
New Life Medical Center,Bismarck Street,Arusha Urban,Arusha
New Life Health Center,Mlimani Avenue,Longido,Arusha
Sunrise Health Center,Azikiwe Street,Arusha Urban,Arusha
